// Start Time: Unknown
// Update Rate: 75.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	
33580	    0	NaN	NaN	NaN	NaN	1.057669	6.410082	-7.175235	1.302253	-1.729566	-1.159195	0.015862	0.086175	-0.094748	0.999866	0.008681	-0.011530	-0.007728	
33581	    0	NaN	NaN	NaN	NaN	6.868802	8.600380	-6.957574	-1.009849	-2.111541	-1.140461	0.093750	0.113342	-0.092224	0.999849	-0.006732	-0.014076	-0.007603	
33582	    0	NaN	NaN	NaN	NaN	6.773200	3.575160	-7.848546	-1.734151	-1.001407	-1.617702	0.091506	0.045477	-0.104573	0.999852	-0.011560	-0.006676	-0.010784	
33583	    0	NaN	NaN	NaN	NaN	6.208976	5.085962	-1.290119	-0.927010	1.251607	-1.785353	0.083435	0.066711	-0.018311	0.999875	-0.006180	0.008344	-0.011902	
33584	    0	NaN	NaN	NaN	NaN	3.641445	7.519644	4.606824	-0.132039	0.867766	-1.414662	0.049850	0.099850	0.061050	0.999938	-0.000880	0.005785	-0.009431	
33585	    0	NaN	NaN	NaN	NaN	4.991263	16.692549	-0.239426	-1.651429	0.489392	-0.902392	0.067871	0.222107	-0.005859	0.999915	-0.011009	0.003263	-0.006016	
33586	    0	NaN	NaN	NaN	NaN	16.869576	30.247413	0.398149	-3.121757	0.026180	-0.742778	0.226921	0.402172	-0.003109	0.999771	-0.020810	0.000175	-0.004951	
33587	    0	NaN	NaN	NaN	NaN	28.022150	8.287259	-28.201486	-4.304301	-2.102503	-0.759448	0.379395	0.097839	-0.373657	0.999476	-0.028690	-0.014014	-0.005062	
33588	    0	NaN	NaN	NaN	NaN	28.013980	-47.342554	-5.498691	-2.584273	-0.683980	1.774685	0.381258	-0.627872	-0.060752	0.999771	-0.017227	-0.004560	0.011830	
33589	    0	NaN	NaN	NaN	NaN	13.694384	-33.769249	3.754692	1.921140	-0.541908	1.858623	0.187988	-0.448547	0.044983	0.999834	0.012807	-0.003613	0.012390	
33590	    0	NaN	NaN	NaN	NaN	10.467211	-27.533443	5.058019	2.480123	0.002289	2.020321	0.144501	-0.366237	0.061378	0.999772	0.016533	0.000015	0.013468	
33591	    0	NaN	NaN	NaN	NaN	22.168032	-19.136108	-1.380254	3.000593	0.005723	2.856236	0.300354	-0.249023	-0.023438	0.999619	0.020001	0.000038	0.019039	
33592	    0	NaN	NaN	NaN	NaN	20.155310	-13.554406	-0.970492	0.480982	0.124895	3.466873	0.272806	-0.174408	-0.013732	0.999727	0.003206	0.000833	0.023110	
33593	    0	NaN	NaN	NaN	NaN	16.124304	-11.736204	-2.124153	-0.615612	0.137343	3.649892	0.218689	-0.151306	-0.027893	0.999695	-0.004104	0.000916	0.024330	
33594	    0	NaN	NaN	NaN	NaN	21.279995	-7.113116	-5.392732	0.107586	-0.028327	3.852505	0.286057	-0.087462	-0.071914	0.999669	0.000717	-0.000189	0.025681	
33595	    0	NaN	NaN	NaN	NaN	28.388287	3.247078	-4.970855	0.239351	-0.062949	3.852507	0.377258	0.053101	-0.066040	0.999668	0.001595	-0.000420	0.025681	
33596	    0	NaN	NaN	NaN	NaN	24.973986	8.558039	-2.971211	-0.345079	-0.144641	3.929353	0.329885	0.122685	-0.039573	0.999653	-0.002300	-0.000964	0.026193	
33597	    0	NaN	NaN	NaN	NaN	21.886944	5.486626	-1.071125	0.627928	-0.082408	4.017941	0.289734	0.080994	-0.013794	0.999632	0.004186	-0.000549	0.026783	
33598	    0	NaN	NaN	NaN	NaN	18.657682	4.572631	-0.094687	2.385463	0.181274	3.907621	0.247067	0.067432	-0.000524	0.999533	0.015901	0.001208	0.026047	
33599	    0	NaN	NaN	NaN	NaN	14.377891	4.906846	-0.226079	3.849614	0.550578	3.704099	0.190002	0.070190	-0.001953	0.999359	0.025659	0.003670	0.024689	
