// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	
33020	    0	11.681817	-6.334428	-2.493781	-1.816205	0.242428	-0.513275	0.116625	-0.063868	-0.024501	0.999954	-0.009081	0.001212	-0.002566	
33021	    0	10.980266	-5.022337	-3.970120	-1.567670	0.228122	-0.786601	0.109558	-0.050964	-0.039429	0.999960	-0.007838	0.001141	-0.003933	
33022	    0	9.874163	-7.645595	-4.373729	-1.511023	0.165179	-1.038947	0.098306	-0.077295	-0.043237	0.999957	-0.007555	0.000826	-0.005195	
33023	    0	8.986308	-11.018739	-3.004555	-1.272601	0.174143	-1.311511	0.089111	-0.110962	-0.029419	0.999957	-0.006363	0.000871	-0.006557	
33024	    0	9.753146	-9.582081	-2.511975	-0.836959	0.337416	-1.848253	0.096598	-0.096821	-0.024879	0.999947	-0.004185	0.001687	-0.009241	
33025	    0	10.650697	-8.370859	-3.157988	-0.596636	0.546472	-2.536849	0.105347	-0.085144	-0.031616	0.999911	-0.002983	0.002732	-0.012684	
33026	    0	11.725274	-7.317150	-4.553712	-0.165756	0.541903	-3.287277	0.115905	-0.075122	-0.045791	0.999861	-0.000829	0.002709	-0.016436	
33027	    0	12.670625	-0.860838	-5.673761	0.068860	0.323509	-4.079722	0.126404	-0.011169	-0.056946	0.999790	0.000344	0.001617	-0.020397	
33028	    0	12.997008	3.613314	-7.374389	-0.319129	0.307112	-4.702242	0.130656	0.032948	-0.073998	0.999721	-0.001595	0.001535	-0.023509	
33029	    0	13.678592	-3.754542	-4.363154	-0.640163	0.378642	-4.533785	0.135803	-0.040771	-0.043762	0.999736	-0.003201	0.001893	-0.022667	
33030	    0	15.667443	-9.456048	-2.295537	-0.519603	0.333431	-4.346052	0.154531	-0.097994	-0.022963	0.999759	-0.002598	0.001667	-0.021729	
33031	    0	16.350110	-10.959097	-0.920098	-0.275443	0.284789	-4.317049	0.161072	-0.113098	-0.009277	0.999764	-0.001377	0.001424	-0.021584	
33032	    0	16.228169	-10.645248	-0.561010	0.015641	0.281736	-4.190371	0.159996	-0.109820	-0.005845	0.999779	0.000078	0.001409	-0.020950	
33033	    0	17.106946	-10.554375	-1.291473	0.423650	0.335715	-3.901925	0.168945	-0.108826	-0.013428	0.999805	0.002118	0.001678	-0.019508	
33034	    0	18.008620	-9.706951	-2.446182	0.768131	0.280205	-3.498266	0.178318	-0.100103	-0.025093	0.999838	0.003840	0.001401	-0.017490	
33035	    0	17.375908	-7.955660	-3.317790	0.870741	0.255595	-3.031285	0.172485	-0.082031	-0.033752	0.999874	0.004354	0.001278	-0.015156	
33036	    0	14.444543	-6.252788	-4.038831	0.826288	0.303850	-2.495076	0.143590	-0.064155	-0.040870	0.999912	0.004131	0.001519	-0.012475	
33037	    0	11.640406	-4.387921	-4.171220	0.733960	0.411422	-1.851686	0.115906	-0.044800	-0.042114	0.999948	0.003670	0.002057	-0.009258	
33038	    0	9.938662	-2.804245	-4.258565	0.659185	0.564961	-1.121721	0.099107	-0.028458	-0.042959	0.999974	0.003296	0.002825	-0.005609	
33039	    0	8.057812	-1.625206	-4.489565	0.514986	0.719645	-0.399019	0.080383	-0.016296	-0.045227	0.999988	0.002575	0.003598	-0.001995	
33040	    0	6.308382	-0.573466	-3.829566	0.307466	0.884441	0.348856	0.062923	-0.005566	-0.038583	0.999987	0.001537	0.004422	0.001744	
33041	    0	4.956148	0.011628	-3.754209	0.202944	0.966844	1.103221	0.049377	0.000427	-0.037781	0.999972	0.001015	0.004834	0.005516	
33042	    0	3.988975	-0.414749	-3.993019	0.127985	1.033612	1.851307	0.039719	-0.003754	-0.040138	0.999943	0.000640	0.005168	0.009256	
33043	    0	3.548216	-0.982705	-3.935984	0.135998	1.041447	2.607050	0.035400	-0.009338	-0.039551	0.999901	0.000680	0.005207	0.013035	
33044	    0	3.280165	-1.150943	-3.914230	0.235760	0.992062	3.332307	0.032792	-0.010917	-0.039318	0.999847	0.001179	0.004960	0.016661	
33045	    0	3.123844	-0.955485	-3.804966	0.417357	0.892130	4.001138	0.031250	-0.008850	-0.038208	0.999787	0.002087	0.004460	0.020004	
